Handle,Title,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
15mm-combo-wrench,15mm Combo Wrench,IceToolz,Tools,"15mm, Accessories, Essential, Essentials, Safety Gear, Tool, Tools, Tools and Maintenance, Wheelsets and Accessories, Wrench",TRUE,Title,15mm Combo Wrench,,,,,Tool - Ice 15mm Wrench,272,shopify,1,deny,manual,10.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0923/8062/products/15mm-icetoolz-combo-wrench_1.jpeg?v=1438626126,,FALSE,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/15mm-icetoolz-combo-wrench_1.jpeg?v=1438626126,lb
4mm-5mm-6mm-y-wrench,4mm 5mm 6mm Y-Wrench,Cyclone,Tools,"Accessories, Essential, Essentials, Safety Gear, Tool, Tools, Tools and Maintenance, Wrench",TRUE,Title,Y-Wrench,,,,,Tool - Red Allen Wrench 456,113,shopify,45,deny,manual,3,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0923/8062/products/y-wrench.jpeg?v=1438626125,,FALSE,,,,,,,,,,,,,,,,,lb
adjustable-stem,Adjustable Stem,Pure Fix Cycles,Stem,"Adjustable, Alloy, Bars and Stems, Bars and Tape, Bars Tape Grips and Stems, Black, Parts, Stem, Stems",TRUE,Color,Alloy,,,,,Stem - Adjustable - Silver,680,shopify,22,deny,manual,24,20,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0923/8062/products/black_silver_1200.jpeg?v=1438626124,,FALSE,,,,,,,,,,,,,,,,,lb
adjustable-stem,,,,,,,Black,,,,,Stem - Adjustable - Black,680,shopify,13,deny,manual,24,20,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0923/8062/products/black_1200_2.jpeg?v=1438626124,,,,,,,,,,,,,,,,,,,lb
ass-savers,Ass Savers,Smart Ass,Fender,"Accessories, Accessory, Black, Blue, Clear, Essential, Essentials, Fenders and Chain Guards, Green, Grey, Orange, Pink, Red, Saddles and Seatposts, Seat, Weather, Wheelsets and Accessories, White, Yellow",TRUE,Color,Black,,,,,Fender - Ass Saver - Crazy Black,45,shopify,571,deny,manual,14,14.99,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0923/8062/products/ass-saver-web_0005_Ass_Saver_Black_FULL.jpeg?v=1438626119,Black,FALSE,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/ass-saver-web_0005_Ass_Saver_Black_FULL.jpeg?v=1438626119,lb
ass-savers,,,,,,,Blue,,,,,Fender - Ass Saver - Ballsy Blue,45,shopify,102,deny,manual,14,14.99,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0923/8062/products/ass-saver-web_0004_Ass_Saver_Blue_FULL.jpeg?v=1438626119,Blue,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/ass-saver-web_0004_Ass_Saver_Blue_FULL.jpeg?v=1438626119,lb
ass-savers,,,,,,,Grey,,,,,Fender - Ass Saver - Mousey Grey,45,shopify,116,deny,manual,14,14.99,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0923/8062/products/ass-saver-web_0002_Ass_Saver_Grey_FULL.jpeg?v=1438626119,Grey,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/ass-saver-web_0002_Ass_Saver_Grey_FULL.jpeg?v=1438626119,lb
ass-savers,,,,,,,Red,,,,,Fender - Ass Saver - Redrum Red,45,shopify,106,deny,manual,14,14.99,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0923/8062/products/ass-saver-web_0000_Ass-Saver-Red-WEB.jpeg?v=1438626119,Red,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/ass-saver-web_0000_Ass-Saver-Red-WEB.jpeg?v=1438626119,lb
ass-savers,,,,,,,Yellow,,,,,Fender - Ass Saver - Tonka Yellow,45,shopify,138,deny,manual,14,14.99,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0923/8062/products/ass-saver-web_0001_Ass_Saver_Yellow_FULL.jpeg?v=1438626119,Yellow,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/ass-saver-web_0001_Ass_Saver_Yellow_FULL.jpeg?v=1438626119,lb
ass-savers,,,,,,,Clear,,,,,Fender - Ass Saver - Invisibly Clear,45,shopify,101,deny,manual,14,14.99,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0923/8062/products/ass-saver-web_0003_Ass_Saver_Clear_FULL.jpeg?v=1438626119,Clear,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/ass-saver-web_0003_Ass_Saver_Clear_FULL.jpeg?v=1438626119,lb
pure-fix-bar-tape,Bar Tape,Pure Fix Cycles,Bar Tape,"Bars and Tape, Bars Tape Grips and Stems, Black, Blue, Brown, Celeste, Glow, Glow In The Dark, Glow Series, Gold, Green, Grips and Tape, Handlebar Tape, Orange, Parts, Pink, Purple, Red, Tape, White, Yellow",TRUE,Color,Black,,,,,Handlebar Tape - Black,227,shopify,908,deny,manual,12,,TRUE,TRUE,'030955168517,https://cdn.shopify.com/s/files/1/0923/8062/products/SMT_2776_edit_1200.jpeg?v=1438626105,,FALSE,,,sporting goods > outdoor recreation > cycling > bicycle parts > bicycle grips & handlebar tape,,,,Bar Tape,Bar Tape,new,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/tape_Black.jpeg?v=1438626105,lb
