Handle,Title,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
s14-onl-li-4184l-navy,Delicious Camisole,Only Hearts,women's lingerie,"arrivals, AW15, Camisole, F14, foundation, intimates, lace, Only Hearts, S14, signature, undergarment, visible, Woman",TRUE,COLOR,Navy,SIZE,Small,,,'30235,0,shopify,4,deny,manual,78,,TRUE,TRUE,'30235,https://cdn.shopify.com/s/files/1/0923/8036/products/2014_10_18_Lana_Look1101.jpeg?v=1437081385,,FALSE,,,apparel & accessories > clothing > shirts & tops > camisoles & tank tops,female,adult,,,,,TRUE,,,,,,,lb
s14-onl-li-4184l-navy,,,,,,,Navy,,Medium,,,'30236,0,shopify,0,deny,manual,78,,TRUE,TRUE,'30236,https://cdn.shopify.com/s/files/1/0923/8036/products/2014_10_18_Lana_Look1104.jpeg?v=1437081385,,,,,,,,,,,,,,,,,,,lb
s14-onl-li-4184l-navy,,,,,,,Navy,,Large,,,'30237,0,shopify,0,deny,manual,78,,TRUE,TRUE,'30237,https://cdn.shopify.com/s/files/1/0923/8036/products/2014_10_18_Lana_Look1103.jpeg?v=1437081385,,,,,,,,,,,,,,,,,,,lb
s14-onl-li-4184l-navy,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8036/products/2014_10_18_Lana_Look1105.jpeg?v=1437081385,,,,,,,,,,,,,,,,,,,
s14-onl-li-5656-black,Delicious Camisole,Only Hearts,women's lingerie,"arrivals, AW15, black, camisole, F14, foundation, intimates, Only Hearts, signature, top, undergarment, visible, Woman",TRUE,COLOR,Black,SIZE,Small,,,'11897,0,shopify,4,deny,manual,78,,TRUE,TRUE,'11897,https://cdn.shopify.com/s/files/1/0923/8036/products/2014_10_18_Lana_Look1402.jpeg?v=1437081378,,FALSE,,,apparel & accessories > clothing > shirts & tops > camisoles & tank tops,female,adult,,,,,TRUE,,,,,,,lb
s14-onl-li-5656-black,,,,,,,Black,,Large,,,'20000,0,shopify,7,deny,manual,78,,TRUE,TRUE,'20000,https://cdn.shopify.com/s/files/1/0923/8036/products/2014_10_18_Lana_Look1401.jpeg?v=1437081378,,,,,,,,,,,,,,,,,,,lb
s14-onl-li-5656-black,,,,,,,Black,,Medium,,,'23340,0,shopify,5,deny,manual,78,,TRUE,TRUE,'23340,https://cdn.shopify.com/s/files/1/0923/8036/products/2014_10_18_Lana_Look1403.jpeg?v=1437081378,,,,,,,,,,,,,,,,,,,lb
s14-onl-li-5656-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8036/products/2014_10_18_Lana_Look1404.jpeg?v=1437081378,,,,,,,,,,,,,,,,,,,
s14-oto-br-br-41-silver,Bracelet 41 in Silver,1-100,unisex bracelets,"1-100, Accessories, arrivals, AW15, Bracelets, gift guide, jewelry, Man, mothermoon, signature, silver, spring2, visible, Woman",TRUE,COLOR,Silver,SIZE,Small,,,'11960,0,shopify,0,deny,manual,578,,TRUE,TRUE,'11960,https://cdn.shopify.com/s/files/1/0923/8036/products/product_bracelet_1-100_bracelet41_01.jpeg?v=1437081366,,FALSE,,,apparel & accessories > jewelry > bracelets,unisex,adult,,,,,TRUE,,,,,,,lb
s14-oto-br-br-41-silver,,,,,,,Silver,,Large,,,'11961,0,shopify,2,deny,manual,578,,TRUE,TRUE,'11961,https://cdn.shopify.com/s/files/1/0923/8036/products/product_bracelet_1-100_bracelet41_02_1024x1024_4cf03d97-1d41-4b58-854c-ee22b23561cb.jpeg?v=1437081366,,,,,,,,,,,,,,,,,,,lb
s14-oto-br-br-3-silver,Bracelet 3 in Silver,1-100,unisex bracelets,"1-100, Accessories, Bracelets, cooloff, gift guide, jewelry, last, Man, S14, silver, visible, Woman",TRUE,COLOR,Silver,SIZE,Large,,,'11963,,shopify,1,deny,manual,938,,TRUE,TRUE,'11963,https://cdn.shopify.com/s/files/1/0923/8036/products/product_bracelet_1-100_bracelet3_01.jpeg?v=1441401623,,FALSE,,,apparel & accessories > jewelry > bracelets,unisex,adult,,,,,TRUE,,,,,,,lb
s14-frm-sh-s-gry-12000-no-color,Paul Shirt in Grey Flannel,Frank & Eileen,men's button-ups,"Button-ups, cyber, Frank & Eileen, grey, grey flannel, Man, mens, Plaid, S14, SALE, SALE50, shirt, tops, visible",TRUE,COLOR,Grey Flannel,SIZE,Small,,,'12000,0,shopify,1,deny,manual,108,,TRUE,TRUE,'12000,https://cdn.shopify.com/s/files/1/0923/8036/products/2014_11_3_Addis_Look6_01.jpeg?v=1437081354,,FALSE,,,apparel & accessories > clothing > shirts & tops,male,adult,,,,,TRUE,,,,,,,lb
s14-frm-sh-s-gry-12000-no-color,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8036/products/2014_11_3_Addis_Look6_02.jpeg?v=1437081354,,,,,,,,,,,,,,,,,,,
s14-frm-sh-s-gry-12000-no-color,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8036/products/2014_11_3_Addis_Look6_04.jpeg?v=1437081354,,,,,,,,,,,,,,,,,,,
s14-frm-sh-s-gry-12000-no-color,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8036/products/2014_11_3_Addis_Look6_03.jpeg?v=1437081354,,,,,,,,,,,,,,,,,,,
s14-frm-sh-s-gry-12000-no-color,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8036/products/2014_11_3_Addis_Look6_05.jpeg?v=1437081354,,,,,,,,,,,,,,,,,,,
s14-oto-br-b-84-silver,Bracelet 84 in Silver,1-100,unisex bracelets,"1-100, Accessories, Bracelets, cooloff, Cuff, gift guide, last, putty, S14, Silver, visible, Woman",TRUE,COLOR,Silver,SIZE,Large,,,'12072,,shopify,1,deny,manual,998,,TRUE,TRUE,'12072,https://cdn.shopify.com/s/files/1/0923/8036/products/2015-04-20_Accessories_20_12072_21332.jpeg?v=1437081343,,FALSE,,,apparel & accessories > jewelry > bracelets,unisex,adult,,,,,TRUE,,,,,,,lb
s14-oto-br-b-84-silver,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8036/products/2015-04-20_Accessories_20_12072_21333.jpeg?v=1437081343,,,,,,,,,,,,,,,,,,,
s14-oto-br-b-84-silver,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8036/products/2015-04-20_Accessories_20_12072_21334.jpeg?v=1437081343,,,,,,,,,,,,,,,,,,,
s14-oto-br-b-84-silver,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8036/products/2015-04-20_Accessories_20_12072_21335.jpeg?v=1437081343,,,,,,,,,,,,,,,,,,,
s14-oto-ri-rng-56-silver,Ring 56 in Silver,1-100,unisex rings,"1-100, Accessories, Man, Rings, S14, visible, Woman",TRUE,COLOR,Silver,SIZE,Small,,,'12075,,shopify,1,deny,manual,398,,TRUE,TRUE,'12075,https://cdn.shopify.com/s/files/1/0923/8036/products/2015-04-20_Accessories_23_12075_21344.jpeg?v=1437081338,,FALSE,,,apparel & accessories > jewelry > rings,unisex,adult,,,,,TRUE,,,,,,,lb
s14-oto-ri-rng-56-silver,,,,,,,Silver,,Large,,,'12076,,shopify,1,deny,manual,398,,TRUE,TRUE,'12076,https://cdn.shopify.com/s/files/1/0923/8036/products/2015-04-20_Accessories_23_12075_21345.jpeg?v=1437081338,,,,,,,,,,,,,,,,,,,lb
s14-oto-ri-rng-56-silver,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8036/products/2015-04-20_Accessories_23_12075_21346.jpeg?v=1437081338,,,,,,,,,,,,,,,,,,,
iranta-leather-dress-black,Iranta Leather Dress in Black,By Malene Birger,women's dresses,"By Malene Birger, Dress, Dresses, S14, sheath, shift, sleeveless, visible, Woman",TRUE,COLOR,Black,SIZE,36,,,'12148,,shopify,1,deny,manual,978,,TRUE,TRUE,'12148,https://cdn.shopify.com/s/files/1/0923/8036/products/6_21_LOOKS077.jpeg?v=1437081310,,FALSE,,,apparel & accessories > clothing > dresses,female,adult,,women's dresses,women's dresses,new,TRUE,,,,,,,lb
iranta-leather-dress-black,,,,,,,Black,,40,,,'12150,,shopify,1,deny,manual,978,,TRUE,TRUE,'12150,https://cdn.shopify.com/s/files/1/0923/8036/products/6_21_LOOKS072.jpeg?v=1437081310,,,,,,,,,,,,,,,,,,,lb
iranta-leather-dress-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8036/products/6_21_LOOKS089.jpeg?v=1437081310,,,,,,,,,,,,,,,,,,,
