Handle,Title,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
burton-approach-under-glove-2016,Approach Under Glove,Burton,Gloves,Gloves,TRUE,Size,Medium,Color,True Black,,,,454,shopify,4,deny,manual,54.95,,TRUE,TRUE,'9009518582030,https://cdn.shopify.com/s/files/1/0938/8938/products/10350100002_1_432x720_72_RGB.jpeg?v=1445628956,,FALSE,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/8938/products/10350100002_1_432x720_72_RGB.jpeg?v=1445628956,lb
burton-approach-under-glove-2016,,,,,,,Large,,True Black,,,,453,shopify,4,deny,manual,54.95,,TRUE,TRUE,'9009518582023,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/8938/products/10350100002_1_432x720_72_RGB.jpeg?v=1445628956,lb
burton-approach-under-glove-2016,,,,,,,XLarge,,True Black,,,,453,shopify,3,deny,manual,54.95,,TRUE,TRUE,'9009518582054,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/8938/products/10350100002_1_432x720_72_RGB.jpeg?v=1445628956,lb
burton-gore-tex-under-mitt-2016,Gore-Tex Under Mitt,Burton,Gloves,Gloves,TRUE,Size,Small,Color,True Black,,,,453,shopify,2,deny,manual,69.95,,TRUE,TRUE,'9009518598635,https://cdn.shopify.com/s/files/1/0938/8938/products/10394100002_1_1369x1800_300_RGB_large_f572a1df-457d-457b-b502-c1b3d33450e7.jpeg?v=1445628955,,FALSE,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/8938/products/10394100002_1_1369x1800_300_RGB_large_f572a1df-457d-457b-b502-c1b3d33450e7.jpeg?v=1445628955,lb
burton-gore-tex-under-mitt-2016,,,,,,,Medium,,True Black,,,,453,shopify,3,deny,manual,69.95,,TRUE,TRUE,'9009518598628,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/8938/products/10394100002_1_1369x1800_300_RGB_large_f572a1df-457d-457b-b502-c1b3d33450e7.jpeg?v=1445628955,lb
burton-gore-tex-under-mitt-2016,,,,,,,Large,,True Black,,,,454,shopify,3,deny,manual,69.95,,TRUE,TRUE,'9009518598611,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/8938/products/10394100002_1_1369x1800_300_RGB_large_f572a1df-457d-457b-b502-c1b3d33450e7.jpeg?v=1445628955,lb
burton-gore-tex-under-glove-2016,Gore-Tex Under Glove,Burton,Gloves,Gloves,TRUE,Size,Small,Color,True Black,,,,453,shopify,2,deny,manual,69.95,,TRUE,TRUE,'9009518583945,https://cdn.shopify.com/s/files/1/0938/8938/products/10354100002_1_466x720_72_RGB.jpeg?v=1445628954,,FALSE,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/8938/products/10354100002_1_466x720_72_RGB.jpeg?v=1445628954,lb
burton-gore-tex-under-glove-2016,,,,,,,Medium,,True Black,,,,453,shopify,2,deny,manual,69.95,,TRUE,TRUE,'9009518583938,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/8938/products/10354100002_1_466x720_72_RGB.jpeg?v=1445628954,lb
burton-gore-tex-under-glove-2016,,,,,,,Large,,True Black,,,,453,shopify,3,deny,manual,69.95,,TRUE,TRUE,'9009518583921,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/8938/products/10354100002_1_466x720_72_RGB.jpeg?v=1445628954,lb
burton-gore-tex-under-glove-2016,,,,,,,XLarge,,True Black,,,,453,shopify,10,deny,manual,69.95,,TRUE,TRUE,'9009518583952,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/8938/products/10354100002_1_466x720_72_RGB.jpeg?v=1445628954,lb
